"How should emergency communication systems be designed for tsunamis?","Redundant, multi-channel (sirens, SMS, apps), and battery-backed."
"What role does social media play in tsunami preparedness?","Disseminates verified alerts quickly, educates public, coordinates volunteers."
"How do you validate tsunami warnings from apps or social media?","Check official sources like NOAA, PTWC, or local authorities before acting."
"What is the importance of community drills for tsunami preparedness?","Familiarizes residents with routes, reduces panic, and improves response times."
"How are tsunami inundation maps created?","Using bathymetry, topography, historical data, and computer simulations."
"How does urban planning reduce tsunami risk?","Setbacks, land-use zoning, evacuation infrastructure, and vertical evacuation structures."
"Can climate change affect tsunami risk?","Indirectly, by increasing storm surges, sea-level rise, and coastal instability."
"What is a tsunami evacuation vertical zone?","Designated floors in buildings safe from flooding when high ground is unavailable."
"What are tsunami hazard zones?","Areas prone to tsunami inundation, usually identified by historical events and modeling."
"How should disabled individuals be assisted during tsunamis?","Personal evacuation plans, buddy systems, accessible routes, trained responders."
"What is a tsunami ready community?","Community meeting FEMA criteria for preparedness, drills, education, and communication."
"How should schools conduct tsunami evacuation drills?","Practice routes, designate safe zones, educate staff/students, and evaluate procedures."
"What is the difference between local and distant tsunamis?","Local tsunamis arrive within minutes, distant tsunamis take hours to reach coastlines."
"How do you calculate tsunami travel time?","Based on wave speed (sqrt of gravity × depth) and distance to shore."
"What is the role of DART buoys?","Measure pressure changes in ocean to detect tsunamis early and relay data to warning centers."
"How do underwater earthquakes differ from coastal earthquakes?","Location under ocean, potential to generate tsunamis, and less direct shaking on land."
"What is a tsunami earthquake?","An earthquake that generates disproportionately large tsunami relative to its magnitude."
"How are tsunami evacuation routes determined?","Based on topography, population density, hazard zones, and access to high ground."
"What should tourists know about tsunamis in coastal areas?","Recognize natural warnings, know evacuation routes, and follow local authority instructions."
"How does public education reduce tsunami casualties?","Increases awareness, improves evacuation compliance, and teaches hazard recognition."
"How do tsunami simulations help authorities?","Predict wave heights, inundation areas, and plan emergency response and infrastructure."
"What is the importance of redundant evacuation paths?","Ensures safe escape if primary routes are blocked or congested."
"What should be included in community tsunami preparedness plans?","Early warning, evacuation, shelters, first aid, public education, and recovery strategy."
"What are the psychological impacts of tsunamis?","Trauma, anxiety, depression, and stress, requiring mental health support."
"How should communities address post-tsunami trauma?","Counseling, community support programs, and continued education on preparedness."
"Can repeated tsunamis affect long-term settlement patterns?","Yes, communities may relocate, alter infrastructure, or change land use planning."
"How can technology improve tsunami resilience?","Real-time monitoring, predictive modeling, mobile alerts, GIS mapping, and smart evacuation systems."
"What is tsunami inundation modeling for urban areas?","Simulating wave penetration, flooding depth, and critical infrastructure impact in cities."
"How do international tsunami drills improve preparedness?","Coordinate cross-border responses, test early warning systems, and educate the public."
"What research is ongoing in tsunami science?","Fault behavior studies, sediment transport, wave modeling, early warning tech, and risk assessment."
"What is the role of citizen science in tsunami monitoring?","Reporting unusual ocean activity, assisting in drills, and contributing local observations."
